Country,Year95to99,Year00to04,Year05to09
Serbia excluding Kosovo,,,7932.827055
Seychelles,6773.020124,7179.790125,249.7460805
Sierra Leone,179.3821162,197.8380788,29728.56919
Singapore,21489.92379,24513.2436,7771.121086
Slovak Republic,4983.27601,5809.510175,12869.2699
Slovenia,8846.683024,10715.97846,1064.428565
Solomon Islands,1343.303438,960.448639,
Somalia,,,
Somaliland,,,3628.709035
South Africa,2991.409114,3118.250277,
South Ossetia,,,15980.18809
Spain,12846.11771,14944.01939,1128.613608
Sri Lanka,756.4217581,895.6381033,489.2008311
Sudan,322.5486104,385.1473469,2511.247558
Suriname,1939.867132,2066.249879,
Svalbard,,,1748.582099
Swaziland,1421.544652,1557.402199,32129.30004
Sweden,24856.13593,28902.62543,38201.48627
Switzerland,33594.3544,35708.59211,1415.639753
Syria,1236.826645,1247.593913,
Taiwan,,,227.4523978
Tajikistan,130.1027231,166.6796115,410.9715353
Tanzania,291.5088001,333.6079929,2504.07304
Thailand,1974.885658,2078.028285,340.1192927
Timor-Leste,337.8731239,326.6957131,257.4030982
Togo,277.9411702,257.9875616,
Tokelau,,,2031.505025
Tonga,1804.152876,2020.243856,
Transnistria,,,10319.47914
Trinidad and Tobago,5476.106533,7314.109907,2891.845733
Tunisia,2004.844808,2388.851515,5124.541914
Turkey,3991.683642,4193.198948,956.4004049
Turkmenistan,561.4251702,669.6701333,
Turks and Caicos Islands,,,1535.752036
Tuvalu,1355.923789,1504.620449,338.1538188
Uganda,239.1070739,273.3752578,1054.541801
Ukraine,611.8840275,766.365224,28345.14827
United Arab Emirates,33721.08725,34254.05057,28851.99546
United Kingdom,22776.27899,26363.46509,37905.2558
United States,31922.22878,35715.75121,7696.218553
Uruguay,6782.161573,6467.713268,
USSR,,,785.0662457
Uzbekistan,517.4591005,595.4734747,
Wallis et Futuna,,,1461.686115
Vanuatu,1395.6537,1354.034327,5572.8311
Venezuela,5041.768069,4532.801814,1056.296491
West Bank and Gaza,1344.259645,1101.304053,
West Germany,,,
Western Sahara,,,617.839892
Vietnam,349.4422537,451.3769687,
Virgin Islands (U.S.),,,
North Yemen (former),,,
South Yemen (former),,,576.7143114
Yemen,,551.7655349,
Yugoslavia,,,384.5876774
Zambia,,332.6442048,326.0520838
Zimbabwe,,471.0853997,
Åland,,,
South Sudan,,,
Christian,,,
Coastline,,,
Curaçao,,,
Sint Maarten (Dutch part),,,
St. Martin (French part),,,
Antarctica,,,
Virgin Islands. British,,,
Hawaiian Trade Zone,,,
U.S. Pacific Islands,,,
Wake Island,,,
Bonaire,,,
Sark,,,
Chinese Taipei,,,
Saint Eustatius,,,
Saba,,,
