Country,Year95to99,Year00to04,Year05to09,info
Italy,3.524970072,0.903121705,-0.497226988,Average Trade balance (% of GDP)
Jamaica,-11.51012707,,-22.07315169,Average Trade balance (% of GDP)
Japan,1.296172656,1.391108517,0.95260716,Average Trade balance (% of GDP)
Jordan,-21.19529896,-24.412056,-32.36776424,Average Trade balance (% of GDP)
Kazakhstan,-2.001444501,4.071611691,10.90150941,Average Trade balance (% of GDP)
Kenya,-7.448622606,-7.561886785,-10.96961891,Average Trade balance (% of GDP)
Kiribati,-44.42920319,-52.02137462,,Average Trade balance (% of GDP)
Korea. Dem. Rep.,,,,Average Trade balance (% of GDP)
Korea. Rep.,2.876989266,2.604146798,1.62531591,Average Trade balance (% of GDP)
Kosovo,,,-38.79274576,Average Trade balance (% of GDP)
Kuwait,7.203075621,18.45254921,36.19553396,Average Trade balance (% of GDP)
Kyrgyzstan,-16.59021764,-5.013081649,-30.10195919,Average Trade balance (% of GDP)
Laos,-13.90209039,-10.60734625,-13.0460602,Average Trade balance (% of GDP)
Latvia,-7.822459353,-10.89937067,-14.20244231,Average Trade balance (% of GDP)
Lebanon,-35.36513085,-21.43830745,-24.75699714,Average Trade balance (% of GDP)
Lesotho,-93.01709449,-65.10721766,-67.5849822,Average Trade balance (% of GDP)
Liberia,-39.62429244,-9.482966956,-93.17249172,Average Trade balance (% of GDP)
Libya,4.320631485,19.9802992,40.52453937,Average Trade balance (% of GDP)
Liechtenstein,,,,Average Trade balance (% of GDP)
Lithuania,-10.22679642,-6.083025493,-8.773991323,Average Trade balance (% of GDP)
Luxembourg,18.89079164,21.22241988,30.34747483,Average Trade balance (% of GDP)
Macao. China,28.46641286,35.5694233,33.45172701,Average Trade balance (% of GDP)
Macedonia. FYR,-11.69844133,-17.0989921,-20.02789497,Average Trade balance (% of GDP)
Madagascar,-7.336738718,-8.188010683,-21.91033173,Average Trade balance (% of GDP)
Malawi,-11.92120268,-13.27053923,-20.57209067,Average Trade balance (% of GDP)
Malaysia,9.082268251,18.79430417,22.15090353,Average Trade balance (% of GDP)
Maldives,14.81487569,5.172472823,-26.12267208,Average Trade balance (% of GDP)
Mali,-12.73600309,-12.04968923,-9.734865159,Average Trade balance (% of GDP)
Malta,-8.907704673,-3.715597176,-4.050631542,Average Trade balance (% of GDP)
Marshall Islands,,,,Average Trade balance (% of GDP)
Mauritania,-10.3978929,-22.56508231,-22.72459587,Average Trade balance (% of GDP)
Mauritius,-2.460950128,1.463857031,-9.829624627,Average Trade balance (% of GDP)
Mayotte,,,,Average Trade balance (% of GDP)
Mexico,0.174223508,-1.851083644,-1.58764701,Average Trade balance (% of GDP)
Micronesia. Fed. Sts.,,,,Average Trade balance (% of GDP)
Moldova,-17.72090836,-27.91755923,-45.25225054,Average Trade balance (% of GDP)
Monaco,,,,Average Trade balance (% of GDP)
Mongolia,-5.238747368,-14.29756714,-3.591874976,Average Trade balance (% of GDP)
Montenegro,,-18.96424027,-37.44825588,Average Trade balance (% of GDP)
Morocco,-4.257916103,-3.55813492,-8.914846623,Average Trade balance (% of GDP)
Mozambique,-16.84409587,-17.35118023,-12.65358048,Average Trade balance (% of GDP)
Myanmar,-0.684824665,0.001116619,0.055991615,Average Trade balance (% of GDP)
Namibia,-9.401007458,-4.71770351,-4.578469379,Average Trade balance (% of GDP)
