Country,Year95to99,Year00to04,Year05to09,info
Mali,21.70002031,23.88192648,22.62526686,GrossCapitalInvestment(%ofGDP)
Malta,22.93250981,18.1141582,20.06330321,GrossCapitalInvestment(%ofGDP)
Marshall Islands,,,,GrossCapitalInvestment(%ofGDP)
Mauritania,16.97722781,26.44276662,38.80133388,GrossCapitalInvestment(%ofGDP)
Mauritius,26.44011128,23.38946563,24.90916626,GrossCapitalInvestment(%ofGDP)
Mayotte,,,,GrossCapitalInvestment(%ofGDP)
Mexico,23.41772864,22.58753305,25.16502023,GrossCapitalInvestment(%ofGDP)
Micronesia. Fed. Sts.,,,,GrossCapitalInvestment(%ofGDP)
Moldova,24.52617089,23.02933577,32.81000491,GrossCapitalInvestment(%ofGDP)
Monaco,,,,GrossCapitalInvestment(%ofGDP)
Mongolia,28.03487157,28.45446866,38.01119462,GrossCapitalInvestment(%ofGDP)
Montenegro,,19.32680776,28.93021352,GrossCapitalInvestment(%ofGDP)
Morocco,22.36320159,26.81788086,32.89395496,GrossCapitalInvestment(%ofGDP)
Mozambique,21.22240584,24.36139241,17.72361883,GrossCapitalInvestment(%ofGDP)
Myanmar,12.96276726,11.44703473,15.23548148,GrossCapitalInvestment(%ofGDP)
Namibia,22.80713087,19.27535964,24.21505319,GrossCapitalInvestment(%ofGDP)
Nepal,24.61363727,22.57914125,28.84216654,GrossCapitalInvestment(%ofGDP)
Netherlands,22.11894556,20.29881654,19.72097069,GrossCapitalInvestment(%ofGDP)
New Caledonia,,,,GrossCapitalInvestment(%ofGDP)
New Zealand,21.84266857,22.57902021,22.59890102,GrossCapitalInvestment(%ofGDP)
Nicaragua,29.66438818,27.67414729,29.86520694,GrossCapitalInvestment(%ofGDP)
Niger,9.862418413,13.1541278,22.59069651,GrossCapitalInvestment(%ofGDP)
Nigeria,,,,GrossCapitalInvestment(%ofGDP)
Northern Mariana Islands,,,,GrossCapitalInvestment(%ofGDP)
Norway,23.26349265,19.33551329,23.44413262,GrossCapitalInvestment(%ofGDP)
Oman,17.03020121,18.27748674,26.89885479,GrossCapitalInvestment(%ofGDP)
Pakistan,17.74750386,16.82835562,20.80926356,GrossCapitalInvestment(%ofGDP)
Palau,,,,GrossCapitalInvestment(%ofGDP)
Panama,27.14051058,19.0448444,22.63235086,GrossCapitalInvestment(%ofGDP)
Papua New Guinea,20.00346066,21.1917327,19.80601126,GrossCapitalInvestment(%ofGDP)
Paraguay,24.30472703,19.43840853,18.20603019,GrossCapitalInvestment(%ofGDP)
Peru,23.28673945,18.90455983,21.67229294,GrossCapitalInvestment(%ofGDP)
Philippines,22.71733795,21.91431561,18.55528426,GrossCapitalInvestment(%ofGDP)
Poland,22.66836162,20.61111463,21.80596733,GrossCapitalInvestment(%ofGDP)
Portugal,26.25390909,25.87179084,22.55697134,GrossCapitalInvestment(%ofGDP)
Puerto Rico,,16.20583719,13.07099829,GrossCapitalInvestment(%ofGDP)
Qatar,31.42785494,30.04655111,37.01765698,GrossCapitalInvestment(%ofGDP)
Romania,20.91564093,21.58195496,27.46215178,GrossCapitalInvestment(%ofGDP)
Russia,20.17562899,20.49089123,21.96800526,GrossCapitalInvestment(%ofGDP)
Rwanda,14.72489551,17.6001679,18.81679038,GrossCapitalInvestment(%ofGDP)
Saint Kitts and Nevis,42.96633162,43.60089551,34.41886471,GrossCapitalInvestment(%ofGDP)
Saint Lucia,23.37057205,25.44884062,32.41842572,GrossCapitalInvestment(%ofGDP)
Saint Martin,,,,GrossCapitalInvestment(%ofGDP)
Saint Vincent and the Grenadines,31.76685807,24.75325177,26.62437929,GrossCapitalInvestment(%ofGDP)
Samoa,,,,GrossCapitalInvestment(%ofGDP)
San Marino,,,,GrossCapitalInvestment(%ofGDP)
Sao Tome and Principe,,,,GrossCapitalInvestment(%ofGDP)
Saudi Arabia,19.94998735,19.25567609,21.56998045,GrossCapitalInvestment(%ofGDP)
Senegal,14.71092105,19.55224804,29.37520155,GrossCapitalInvestment(%ofGDP)
Serbia,10.73797386,15.29377153,25.91563434,GrossCapitalInvestment(%ofGDP)
Seychelles,35.83373716,22.91012489,25.92224669,GrossCapitalInvestment(%ofGDP)
Sierra Leone,5.78856242,9.593875385,15.0977565,GrossCapitalInvestment(%ofGDP)
Singapore,33.2009947,24.31822987,23.72759889,GrossCapitalInvestment(%ofGDP)
Slovak Republic,30.80810211,27.11697626,26.44462262,GrossCapitalInvestment(%ofGDP)
Slovenia,24.98481665,25.85966789,28.49422731,GrossCapitalInvestment(%ofGDP)
Solomon Islands,6.859033587,7.870777302,14.17932555,GrossCapitalInvestment(%ofGDP)
Somalia,,,,GrossCapitalInvestment(%ofGDP)
South Africa,17.09803672,16.36087846,20.10007713,GrossCapitalInvestment(%ofGDP)
Spain,22.84834231,26.98418327,28.99139145,GrossCapitalInvestment(%ofGDP)
Sri Lanka,25.35871336,23.68544298,26.94914663,GrossCapitalInvestment(%ofGDP)
Sudan,15.42538768,19.56793557,28.01771768,GrossCapitalInvestment(%ofGDP)
Suriname,18.32467276,21.71507485,24.85453401,GrossCapitalInvestment(%ofGDP)
Swaziland,17.21076474,19.25179581,12.4444625,GrossCapitalInvestment(%ofGDP)
Sweden,17.02213362,17.68504182,18.66890449,GrossCapitalInvestment(%ofGDP)
Switzerland,22.86335521,21.86821167,21.22194335,GrossCapitalInvestment(%ofGDP)
Syria,22.60805815,19.76688508,25.40268703,GrossCapitalInvestment(%ofGDP)
Tajikistan,20.68573453,10.14241895,18.74429903,GrossCapitalInvestment(%ofGDP)
Tanzania,17.79445408,18.63788831,28.21855739,GrossCapitalInvestment(%ofGDP)
Thailand,31.70424962,24.49907119,27.30768882,GrossCapitalInvestment(%ofGDP)
Timor-Leste,20.9922251,25.58507274,,GrossCapitalInvestment(%ofGDP)
Togo,16.19262115,18.72034179,18.32918628,GrossCapitalInvestment(%ofGDP)
Tonga,23.45197974,25.20011711,22.88319229,GrossCapitalInvestment(%ofGDP)
Trinidad and Tobago,25.91237298,22.92409196,17.1872734,GrossCapitalInvestment(%ofGDP)
Tunisia,24.74213144,24.53486611,23.93025032,GrossCapitalInvestment(%ofGDP)
Turkey,23.27457845,18.09034851,20.04973498,GrossCapitalInvestment(%ofGDP)
Turkmenistan,43.32071275,28.4966708,28.643703,GrossCapitalInvestment(%ofGDP)
Turks and Caicos Islands,,,,GrossCapitalInvestment(%ofGDP)
Tuvalu,,,,GrossCapitalInvestment(%ofGDP)
Uganda,17.3519074,20.02662709,22.53463403,GrossCapitalInvestment(%ofGDP)
Ukraine,21.82601952,20.92948523,23.79985061,GrossCapitalInvestment(%ofGDP)
United Arab Emirates,,21.06082458,21.51606481,GrossCapitalInvestment(%ofGDP)
United Kingdom,17.56293774,17.21054826,16.80238363,GrossCapitalInvestment(%ofGDP)
United States,19.27198727,19.12203377,18.0994558,GrossCapitalInvestment(%ofGDP)
Uruguay,15.98122523,14.90652765,19.89548927,GrossCapitalInvestment(%ofGDP)
Uzbekistan,23.15634935,20.16251573,23.58437122,GrossCapitalInvestment(%ofGDP)
Vanuatu,19.46527897,18.71320405,22.56667527,GrossCapitalInvestment(%ofGDP)
Venezuela,23.90366858,21.97387089,25.9570909,GrossCapitalInvestment(%ofGDP)
Vietnam,28.04527158,32.98379897,38.6714445,GrossCapitalInvestment(%ofGDP)
Virgin Islands (U.S.),,,,GrossCapitalInvestment(%ofGDP)
West Bank and Gaza,37.34216677,26.56409777,25.72411548,GrossCapitalInvestment(%ofGDP)
Yemen. Rep.,22.35524718,19.59565965,16.21366511,GrossCapitalInvestment(%ofGDP)
Zambia,15.18603596,21.60079448,22.98438816,GrossCapitalInvestment(%ofGDP)
Zimbabwe,18.29655419,8.269002537,3.500660973,GrossCapitalInvestment(%ofGDP)
,,,,GrossCapitalInvestment(%ofGDP)
