Country,Year95to99,Year00to04,Year05to09,info
Mauritania,1199754820,1367657684,1908461048,Averge GDP (constant 2000 US$)
Mauritius,3855142406,4863896225,5856818805,Averge GDP (constant 2000 US$)
Mayotte,,,,Averge GDP (constant 2000 US$)
Mexico,4.97125E+11,5.91549E+11,6.70965E+11,Averge GDP (constant 2000 US$)
Micronesia. Fed. Sts.,224105089.4,237516907.9,235165966.8,Averge GDP (constant 2000 US$)
Moldova,1358226141,1477456453,1953849971,Averge GDP (constant 2000 US$)
Monaco,2407026825,2736436655,3385827584,Averge GDP (constant 2000 US$)
Mongolia,1055807296,1259212527,1827952229,Averge GDP (constant 2000 US$)
Montenegro,1004311406,1023572013,1308243211,Averge GDP (constant 2000 US$)
Montserrat,,,,Averge GDP (constant 2000 US$)
Morocco,34297080143,41508887491,52648924944,Averge GDP (constant 2000 US$)
Mozambique,3549212334,5115844511,7414807108,Averge GDP (constant 2000 US$)
Myanmar,,,,Averge GDP (constant 2000 US$)
Namibia,3530023904,4235285615,5496060274,Averge GDP (constant 2000 US$)
Nauru,,,,Averge GDP (constant 2000 US$)
Nepal,4772750285,5856466090,7039393162,Averge GDP (constant 2000 US$)
Netherlands,3.41455E+11,3.93477E+11,4.3234E+11,Averge GDP (constant 2000 US$)
Netherlands Antilles,,,,Averge GDP (constant 2000 US$)
New Caledonia,2636539502,2682347064,,Averge GDP (constant 2000 US$)
New Zealand,47525294998,56070972562,63772758673,Averge GDP (constant 2000 US$)
Ngorno-Karabakh,,,,Averge GDP (constant 2000 US$)
Nicaragua,3415454013,4133545536,4894729610,Averge GDP (constant 2000 US$)
Niger,1700030635,1977711212,2412304000,Averge GDP (constant 2000 US$)
Nigeria,41984553747,50673701161,70234771253,Averge GDP (constant 2000 US$)
Niue,,,,Averge GDP (constant 2000 US$)
Norfolk Island,,,,Averge GDP (constant 2000 US$)
Northern Cyprus,,,,Averge GDP (constant 2000 US$)
Northern Mariana Islands,,,,Averge GDP (constant 2000 US$)
Norway,1.53276E+11,1.74594E+11,1.93743E+11,Averge GDP (constant 2000 US$)
Oman,18056035455,21561766053,27107683850,Averge GDP (constant 2000 US$)
Pakistan,67027394218,79296381629,1.03886E+11,Averge GDP (constant 2000 US$)
Palau,120080861.8,119083790.7,129544383.6,Averge GDP (constant 2000 US$)
Panama,10227081800,12218484273,17289608379,Averge GDP (constant 2000 US$)
Papua New Guinea,3646972345,3564499374,4227527743,Averge GDP (constant 2000 US$)
Paraguay,7286849048,7358683312,8777226569,Averge GDP (constant 2000 US$)
Peru,50027807877,56475995386,76402953571,Averge GDP (constant 2000 US$)
Philippines,73720665027,87658988782,1.12057E+11,Averge GDP (constant 2000 US$)
Pitcairn,,,,Averge GDP (constant 2000 US$)
Poland,1.4851E+11,1.79101E+11,2.2333E+11,Averge GDP (constant 2000 US$)
Portugal,1.0372E+11,1.19635E+11,1.24669E+11,Averge GDP (constant 2000 US$)
Puerto Rico,54288111942,65593630515,66913536509,Averge GDP (constant 2000 US$)
Qatar,,20140733532,37447799331,Averge GDP (constant 2000 US$)
Reunion,,,,Averge GDP (constant 2000 US$)
Romania,38437932541,41524325932,54956365627,Averge GDP (constant 2000 US$)
Russia,2.32621E+11,2.90801E+11,3.93739E+11,Averge GDP (constant 2000 US$)
Rwanda,1347704306,2027125058,2937270836,Averge GDP (constant 2000 US$)
St. Barthélemy,,,,Averge GDP (constant 2000 US$)
St. Helena,,,,Averge GDP (constant 2000 US$)
St. Kitts and Nevis,340596599.3,396210591.2,456315575,Averge GDP (constant 2000 US$)
St. Lucia,674705938.1,718104094.2,824456956.9,Averge GDP (constant 2000 US$)
St. Martin,,,,Averge GDP (constant 2000 US$)
St. Vincent and the Grenadines,348712801.3,424791122.2,515396551.9,Averge GDP (constant 2000 US$)
St.-Pierre-et-Miquelon,,,,Averge GDP (constant 2000 US$)
Samoa,218604097.3,274499810.3,325281456.5,Averge GDP (constant 2000 US$)
San Marino,665905975.8,830529990.6,958860203.2,Averge GDP (constant 2000 US$)
Sao Tome and Principe,,,,Averge GDP (constant 2000 US$)
Saudi Arabia,1.74887E+11,1.97376E+11,2.39599E+11,Averge GDP (constant 2000 US$)
Senegal,4122080756,5076812561,6309184313,Averge GDP (constant 2000 US$)
Serbia,6008168253,6697855997,8448932438,Averge GDP (constant 2000 US$)
Serbia and Montenegro,,,,Averge GDP (constant 2000 US$)
Serbia excluding Kosovo,,,,Averge GDP (constant 2000 US$)
Seychelles,526900773.9,590495223.5,677640675.5,Averge GDP (constant 2000 US$)
Sierra Leone,705632176,903431751.5,1366219773,Averge GDP (constant 2000 US$)
Singapore,81202534486,1.0113E+11,1.37281E+11,Averge GDP (constant 2000 US$)
Slovak Republic,26818482404,31264741614,41970961096,Averge GDP (constant 2000 US$)
Slovenia,17566411096,21365333196,25964509598,Averge GDP (constant 2000 US$)
Solomon Islands,505437615.3,414781898.7,529733284.5,Averge GDP (constant 2000 US$)
Somalia,,,,Averge GDP (constant 2000 US$)
Somaliland,,,,Averge GDP (constant 2000 US$)
South Africa,1.22565E+11,1.41786E+11,1.75211E+11,Averge GDP (constant 2000 US$)
South Ossetia,,,,Averge GDP (constant 2000 US$)
Spain,5.09073E+11,6.18954E+11,7.15466E+11,Averge GDP (constant 2000 US$)
Sri Lanka,14063712107,17101424982,22640713739,Averge GDP (constant 2000 US$)
Sudan,10348172072,13847179917,19285416388,Averge GDP (constant 2000 US$)
Suriname,869381277.6,993180353.7,1281155473,Averge GDP (constant 2000 US$)
Svalbard,,,,Averge GDP (constant 2000 US$)
Swaziland,1414322755,1578409209,1794968285,Averge GDP (constant 2000 US$)
Sweden,2.19853E+11,2.58109E+11,2.94141E+11,Averge GDP (constant 2000 US$)
Switzerland,2.32933E+11,2.53977E+11,2.81787E+11,Averge GDP (constant 2000 US$)
Syria,18385459659,21200293850,27289904427,Averge GDP (constant 2000 US$)
Taiwan,,,,Averge GDP (constant 2000 US$)
Tajikistan,772601327.5,1048933800,1506805279,Averge GDP (constant 2000 US$)
Tanzania,8953116231,11650905732,16443922232,Averge GDP (constant 2000 US$)
Thailand,1.20354E+11,1.3442E+11,1.697E+11,Averge GDP (constant 2000 US$)
Timor-Leste,278200000,291260000,357228346.2,Averge GDP (constant 2000 US$)
Togo,1213167168,1300965153,1455344661,Averge GDP (constant 2000 US$)
Tokelau,,,,Averge GDP (constant 2000 US$)
Tonga,174316425.6,200972807.7,209291593.3,Averge GDP (constant 2000 US$)
Transnistria,,,,Averge GDP (constant 2000 US$)
Trinidad and Tobago,6983855378,9524655872,13685040275,Averge GDP (constant 2000 US$)
Tunisia,18486092117,23324987248,29606436196,Averge GDP (constant 2000 US$)
Turkey,2.42772E+11,2.74595E+11,3.58741E+11,Averge GDP (constant 2000 US$)
Turkmenistan,2225516294,4151165455,7919762593,Averge GDP (constant 2000 US$)
Turks and Caicos Islands,,,,Averge GDP (constant 2000 US$)
Tuvalu,12796411.36,15678076.13,16521332.26,Averge GDP (constant 2000 US$)
Uganda,5303973278,7077479471,10303517171,Averge GDP (constant 2000 US$)
Ukraine,30974692322,36928570309,49069661686,Averge GDP (constant 2000 US$)
United Arab Emirates,88153358543,1.13121E+11,1.50581E+11,Averge GDP (constant 2000 US$)
United Kingdom,1.30635E+12,1.57036E+12,1.75022E+12,Averge GDP (constant 2000 US$)
United States,8.70984E+12,1.02719E+13,1.14156E+13,Averge GDP (constant 2000 US$)
Uruguay,22088673254,21372771955,25594436140,Averge GDP (constant 2000 US$)
USSR,,,,Averge GDP (constant 2000 US$)
Uzbekistan,12225326714,15056648828,21175733643,Averge GDP (constant 2000 US$)
Wallis et Futuna,,,,Averge GDP (constant 2000 US$)
Vanuatu,244126322,263581634.6,325650874.6,Averge GDP (constant 2000 US$)
Venezuela,1.15684E+11,1.14193E+11,1.53332E+11,Averge GDP (constant 2000 US$)
West Bank and Gaza,3637346662,3533334346,3775940953,Averge GDP (constant 2000 US$)
West Germany,,,,Averge GDP (constant 2000 US$)
Western Sahara,,,,Averge GDP (constant 2000 US$)
Vietnam,26005753727,35951970355,52095987088,Averge GDP (constant 2000 US$)
Virgin Islands (U.S.),,,,Averge GDP (constant 2000 US$)
North Yemen (former),,,,Averge GDP (constant 2000 US$)
South Yemen (former),,,,Averge GDP (constant 2000 US$)
Yemen,8280366166,10407289248,12672147596,Averge GDP (constant 2000 US$)
Yugoslavia,,,,Averge GDP (constant 2000 US$)
Zambia,3027204401,3543135274,4626194871,Averge GDP (constant 2000 US$)
Zimbabwe,6635238310,5924952664,4077326509,Averge GDP (constant 2000 US$)
