Country,Year95to99,Year00to04,Year05to09,info
Abkhazia,,,Avg. Income/pp $USD
Afghanistan,,,Avg. Income/pp $USD
Akrotiri and Dhekelia,,,Avg. Income/pp $USD
Micronesia. Fed. Sts.,2080.37014,2201.781985,2135.820738,Avg. Income/pp $USD
Moldova,371.0099272,408.0338324,546.0459777,Avg. Income/pp $USD
Monaco,70873.13332,77579.00265,95885.27352,Avg. Income/pp $USD
Mongolia,449.7528508,511.1460267,694.7024205,Avg. Income/pp $USD
Montenegro,1571.139297,1627.0118,2081.960905,Avg. Income/pp $USD
Montserrat,,,,Avg. Income/pp $USD
Morocco,1225.138985,1391.154009,1670.556287,Avg. Income/pp $USD
Mozambique,209.9543488,265.5326522,339.2564586,Avg. Income/pp $USD
Myanmar,,,,Avg. Income/pp $USD
Namibia,2014.618565,2145.609461,2542.618936,Avg. Income/pp $USD
Nauru,,,,Avg. Income/pp $USD
Nepal,210.0581873,229.0364501,247.7715044,Avg. Income/pp $USD
Netherlands,21846.15171,24399.8727,26345.88356,Avg. Income/pp $USD
Netherlands Antilles,,,,Avg. Income/pp $USD
New Caledonia,13116.95065,12579.59511,,Avg. Income/pp $USD
New Zealand,12611.69549,14147.04058,15091.33503,Avg. Income/pp $USD
Ngorno-Karabakh,,,,Avg. Income/pp $USD
Nicaragua,918.3185926,1027.630752,1150.778963,Avg. Income/pp $USD
Niger,172.4924771,168.701095,172.6373733,Avg. Income/pp $USD
Nigeria,364.0132444,389.2778411,476.6668683,Avg. Income/pp $USD
Niue,,,,Avg. Income/pp $USD
Norfolk Island,,,,Avg. Income/pp $USD
Northern Cyprus,,,,Avg. Income/pp $USD
Northern Mariana Islands,,,,Avg. Income/pp $USD
Norway,34761.14795,38451.51373,41066.66362,Avg. Income/pp $USD
Oman,8002.538066,9322.146327,10539.85134,Avg. Income/pp $USD
Pakistan,499.1237049,527.1383106,630.9919449,Avg. Income/pp $USD
Palau,6636.659289,6098.740744,6280.257184,Avg. Income/pp $USD
Panama,3663.68557,3978.737441,5156.066749,Avg. Income/pp $USD
Papua New Guinea,734.3772844,630.0282739,659.7531584,Avg. Income/pp $USD
Paraguay,1453.98558,1279.741624,1404.873615,Avg. Income/pp $USD
Peru,2028.145253,2124.603684,2709.385451,Avg. Income/pp $USD
Philippines,1017.225818,1086.16128,1263.050977,Avg. Income/pp $USD
Pitcairn,,,,Avg. Income/pp $USD
Poland,3843.385581,4681.082416,5855.474221,Avg. Income/pp $USD
Portugal,10270.40951,11541.05201,11761.7389,Avg. Income/pp $USD
Puerto Rico,14469.86314,17164.87489,17689.39757,Avg. Income/pp $USD
Qatar,,31448.82489,31496.05848,Avg. Income/pp $USD
Reunion,,,,Avg. Income/pp $USD
Romania,1703.052852,1892.948677,2550.274789,Avg. Income/pp $USD
Russia,1579.435274,2003.872156,2767.218189,Avg. Income/pp $USD
Rwanda,208.2126106,237.2151031,307.6378541,Avg. Income/pp $USD
St. Barthélemy,,,,Avg. Income/pp $USD
St. Helena,,,,Avg. Income/pp $USD
St. Kitts and Nevis,8306.488181,9473.908592,10597.033,Avg. Income/pp $USD
St. Lucia,4508.534243,4780.957768,5323.443452,Avg. Income/pp $USD
St. Martin,,,,Avg. Income/pp $USD
St. Vincent and the Grenadines,3229.699899,4017.609685,4902.697335,Avg. Income/pp $USD
St.-Pierre-et-Miquelon,,,,Avg. Income/pp $USD
Samoa,1272.415901,1538.886908,1790.286962,Avg. Income/pp $USD
San Marino,25498.40532,29337.4787,31116.96455,Avg. Income/pp $USD
Sao Tome and Principe,,543.9990393,,Avg. Income/pp $USD
Saudi Arabia,9189.775717,9161.665389,9410.452081,Avg. Income/pp $USD
